rank,company,employees,previousrank,revenues,revenuechange,profits,profitschange,assets,marketvalue
1,Walmart,"2,300,000",1,"$485,873.00 ",0.80%,"$13,643.00 ",-7.20%,"$198,825.00 ","$218,619.00 "
2,Berkshire Hathaway,"367,700",4,"$223,604.00 ",6.10%,"$24,074.00 ",0.00%,"$620,854.00 ","$411,035.00 "
3,Apple,"116,000",3,"$215,639.00 ",-7.70%,"$45,687.00 ",-14.40%,"$321,686.00 ","$753,718.00 "
4,Exxon Mobil,"72,700",2,"$205,004.00 ",-16.70%,"$7,840.00 ",-51.50%,"$330,314.00 ","$340,056.00 "
5,McKesson,"68,000",5,"$192,487.00 ",6.20%,"$2,258.00 ",53.00%,"$56,563.00 ","$31,439.00 "
6,UnitedHealth Group,"230,000",6,"$184,840.00 ",17.70%,"$7,017.00 ",20.70%,"$122,810.00 ","$157,793.00 "
7,CVS Health,"204,000",7,"$177,526.00 ",15.80%,"$5,317.00 ",1.50%,"$94,462.00 ","$81,310.00 "
8,General Motors,"225,000",8,"$166,380.00 ",9.20%,"$9,427.00 ",-2.70%,"$221,690.00 ","$52,968.00 "
9,AT&T,"268,540",10,"$163,786.00 ",11.60%,"$12,976.00 ",-2.80%,"$403,821.00 ","$255,679.00 "
10,Ford Motor,"201,000",9,"$151,800.00 ",1.50%,"$4,596.00 ",-37.70%,"$237,951.00 ","$46,349.00 "
11,AmerisourceBergen,"18,500",12,"$146,850.00 ",8.00%,"$1,427.90 ",-,"$33,656.00 ","$19,229.00 "
12,Amazon.com,"341,400",18,"$135,987.00 ",27.10%,"$2,371.00 ",297.80%,"$83,402.00 ","$423,031.00 "
13,General Electric,"295,000",11,"$126,661.00 ",-9.80%,"$8,831.00 ",-,"$365,183.00 ","$259,520.00 "
14,Verizon,"160,900",13,"$125,980.00 ",-4.30%,"$13,127.00 ",-26.60%,"$244,180.00 ","$198,900.00 "
15,Cardinal Health,"37,300",21,"$121,546.00 ",18.50%,"$1,427.00 ",17.40%,"$34,122.00 ","$25,725.00 "
16,Costco,"172,000",15,"$118,719.00 ",2.20%,"$2,350.00 ",-1.10%,"$33,163.00 ","$73,606.00 "
17,Walgreens Boots Alliance,"300,000",19,"$117,351.00 ",13.40%,"$4,173.00 ",-1.10%,"$72,688.00 ","$89,645.00 "
18,Kroger,"443,000",17,"$115,337.00 ",5.00%,"$1,975.00 ",-3.10%,"$36,505.00 ","$26,961.00 "
19,Chevron,"55,200",14,"$107,567.00 ",-18.00%,($497.00),-110.80%,"$260,078.00 ","$203,263.00 "
20,Fannie Mae,"7,000",16,"$107,162.00 ",-2.90%,"$12,313.00 ",12.40%,"$3,287,968.00 ","$3,011.00 "
21,J.P. Morgan Chase,"243,355",23,"$105,486.00 ",4.40%,"$24,733.00 ",1.20%,"$2,490,972.00 ","$313,761.00 "
22,Express Scripts Holding,"25,600",22,"$100,288.00 ",-1.40%,"$3,404.40 ",37.50%,"$51,745.00 ","$39,567.00 "
23,Home Depot,"406,000",28,"$94,595.00 ",6.90%,"$7,957.00 ",13.50%,"$42,966.00 ","$176,368.00 "
24,Boeing,"150,540",24,"$94,571.00 ",-1.60%,"$4,895.00 ",-5.40%,"$89,997.00 ","$107,546.00 "
25,Wells Fargo,"269,100",27,"$94,176.00 ",4.60%,"$21,938.00 ",-4.20%,"$1,930,115.00 ","$278,516.00 "
26,Bank of America Corp.,"208,024",26,"$93,662.00 ",0.70%,"$17,906.00 ",12.70%,"$2,187,702.00 ","$236,182.00 "
27,Alphabet,"72,053",36,"$90,272.00 ",20.40%,"$19,478.00 ",19.10%,"$167,497.00 ","$579,426.00 "
28,Microsoft,"114,000",25,"$85,320.00 ",-8.80%,"$16,798.00 ",37.80%,"$193,694.00 ","$508,935.00 "
29,Anthem,"53,000",33,"$84,863.00 ",7.20%,"$2,469.80 ",-3.50%,"$65,083.00 ","$43,813.00 "
30,Citigroup,"219,000",29,"$82,386.00 ",-6.70%,"$14,912.00 ",-13.50%,"$1,792,077.00 ","$165,394.00 "
31,Comcast,"159,000",37,"$80,403.00 ",7.90%,"$8,695.00 ",6.50%,"$180,500.00 ","$178,258.00 "
32,IBM,"414,400",31,"$79,919.00 ",-3.10%,"$11,872.00 ",-10.00%,"$117,470.00 ","$164,251.00 "
33,State Farm Insurance Cos.,"68,234",35,"$76,132.00 ",0.60%,$350.30 ,-94.40%,"$256,030.00 ",-
34,Phillips 66,"14,800",30,"$72,396.00 ",-16.90%,"$1,555.00 ",-63.20%,"$51,653.00 ","$40,954.00 "
35,Johnson & Johnson,"126,400",39,"$71,890.00 ",2.60%,"$16,540.00 ",7.30%,"$141,208.00 ","$337,642.00 "
36,Procter & Gamble,"105,000",34,"$71,726.00 ",-8.90%,"$10,508.00 ",49.30%,"$127,136.00 ","$229,700.00 "
37,Valero Energy,"9,996",32,"$70,166.00 ",-14.20%,"$2,289.00 ",-42.60%,"$46,173.00 ","$29,746.00 "
38,Target,"323,000",38,"$69,495.00 ",-5.80%,"$2,737.00 ",-18.60%,"$37,431.00 ","$30,502.00 "
39,Freddie Mac,"5,982",43,"$65,665.00 ",3.40%,"$7,815.00 ",22.60%,"$2,023,376.00 ","$1,612.00 "
40,Lowe,"240,000",47,"$65,017.00 ",10.10%,"$3,093.00 ",21.50%,"$34,408.00 ","$70,481.00 "
41,Dell Technologies,"138,000",,"$64,806.00 ",18.10%,"($1,672.00)",-,"$118,206.00 ",-
42,MetLife,"58,000",40,"$63,476.00 ",-9.30%,$800.00 ,-84.90%,"$898,764.00 ","$57,429.00 "
43,Aetna,"49,500",46,"$63,155.00 ",4.70%,"$2,271.00 ",-5.00%,"$69,146.00 ","$44,859.00 "
44,PepsiCo,"264,000",44,"$62,799.00 ",-0.40%,"$6,329.00 ",16.10%,"$74,129.00 ","$159,763.00 "
45,Archer Daniels Midland,"31,800",41,"$62,346.00 ",-7.90%,"$1,279.00 ",-30.80%,"$39,769.00 ","$26,274.00 "
46,UPS,"335,520",48,"$60,906.00 ",4.40%,"$3,431.00 ",-29.20%,"$40,377.00 ","$93,276.00 "
47,Intel,"106,000",51,"$59,387.00 ",7.30%,"$10,316.00 ",-9.70%,"$113,327.00 ","$170,539.00 "
48,Prudential Financial,"49,739",50,"$58,779.00 ",2.90%,"$4,368.00 ",-22.60%,"$783,962.00 ","$45,912.00 "
49,Albertsons Cos.,"274,000",,"$58,734.00 ",115.90%,($502.20),-,"$23,770.00 ",-
50,United Technologies,"201,600",45,"$57,244.00 ",-6.20%,"$5,055.00 ",-33.60%,"$89,706.00 ","$89,957.00 "
51,Marathon Petroleum,"44,460",42,"$55,858.00 ",-13.50%,"$1,174.00 ",-58.80%,"$44,413.00 ","$26,679.00 "
52,Disney,"195,000",53,"$55,632.00 ",6.00%,"$9,391.00 ",12.00%,"$92,033.00 ","$179,298.00 "
53,Humana,"51,600",52,"$54,379.00 ",0.20%,$614.00 ,-51.90%,"$25,396.00 ","$29,743.00 "
54,Pfizer,"96,500",55,"$52,824.00 ",8.10%,"$7,215.00 ",3.70%,"$171,615.00 ","$203,725.00 "
55,AIG,"56,400",49,"$52,367.00 ",-10.20%,($849.00),-138.70%,"$498,264.00 ","$61,154.00 "
56,Lockheed Martin,"97,000",60,"$50,658.00 ",9.80%,"$5,302.00 ",47.10%,"$47,806.00 ","$77,557.00 "
57,Sysco,"51,900",57,"$50,367.00 ",3.50%,$949.60 ,38.30%,"$16,722.00 ","$28,048.00 "
58,FedEx,"335,767",58,"$50,365.00 ",6.10%,"$1,820.00 ",73.30%,"$46,064.00 ","$52,178.00 "
59,Hewlett Packard Enterprise,"195,000",,"$50,123.00 ",-,"$3,161.00 ",-,"$79,679.00 ","$39,288.00 "
60,Cisco Systems,"73,700",54,"$49,247.00 ",0.20%,"$10,739.00 ",19.60%,"$121,652.00 ","$169,266.00 "
61,HP,"49,000",20,"$48,238.00 ",-53.30%,"$2,496.00 ",-45.20%,"$29,010.00 ","$30,231.00 "
62,Dow Chemical,"56,000",56,"$48,158.00 ",-1.30%,"$4,318.00 ",-43.80%,"$79,511.00 ","$77,460.00 "
63,HCA Holdings,"210,500",63,"$44,747.00 ",2.70%,"$2,890.00 ",35.70%,"$33,758.00 ","$32,966.00 "
64,Coca-Cola,"100,300",62,"$41,863.00 ",-5.50%,"$6,527.00 ",-11.20%,"$87,270.00 ","$182,153.00 "
65,New York Life Insurance,"11,320",61,"$40,787.00 ",-11.10%,"$1,088.10 ",324.10%,"$287,196.00 ",-
66,Centene,"30,500",124,"$40,721.00 ",78.60%,$562.00 ,58.30%,"$20,197.00 ","$12,271.00 "
67,American Airlines Group,"122,300",67,"$40,180.00 ",-2.00%,"$2,676.00 ",-64.80%,"$51,274.00 ","$21,326.00 "
68,Nationwide,"34,320",69,"$40,074.00 ",-0.40%,$334.30 ,-42.40%,"$197,790.00 ",-
69,Merck,"68,000",72,"$39,807.00 ",0.80%,"$3,920.00 ",-11.80%,"$95,377.00 ","$174,454.00 "
70,Cigna,"41,000",79,"$39,668.00 ",4.70%,"$1,867.00 ",-10.80%,"$59,360.00 ","$37,604.00 "
71,Delta Air Lines,"83,756",68,"$39,639.00 ",-2.60%,"$4,373.00 ",-3.40%,"$51,261.00 ","$33,586.00 "
72,Best Buy,"125,000",71,"$39,403.00 ",-0.90%,"$1,228.00 ",36.90%,"$13,856.00 ","$15,193.00 "
73,Honeywell International,"131,000",75,"$39,302.00 ",1.90%,"$4,809.00 ",0.90%,"$54,146.00 ","$94,991.00 "
74,Caterpillar,"95,400",59,"$38,537.00 ",-18.00%,($67.00),-103.20%,"$74,704.00 ","$54,402.00 "
75,Liberty Mutual Insurance Group,"50,000",73,"$38,308.00 ",-2.90%,"$1,006.00 ",95.70%,"$125,592.00 ",-
76,Morgan Stanley,"55,311",78,"$37,949.00 ",0.10%,"$5,979.00 ",-2.40%,"$814,949.00 ","$79,947.00 "
77,Massachusetts Mutual Life Insurance,"11,737",76,"$37,788.00 ",-1.20%,"$1,273.50 ",-10.60%,"$271,040.00 ",-
78,Goldman Sachs Group,"34,400",74,"$37,712.00 ",-3.80%,"$7,398.00 ",21.60%,"$860,165.00 ","$91,380.00 "
79,Energy Transfer Equity,"30,992",65,"$37,504.00 ",-11.00%,$995.00 ,-16.30%,"$79,011.00 ","$21,292.00 "
80,TIAA,"12,997",82,"$37,105.00 ",5.50%,"$1,492.30 ",22.90%,"$523,194.00 ",-
81,Oracle,"136,000",77,"$37,047.00 ",-3.10%,"$8,901.00 ",-10.40%,"$112,180.00 ","$183,556.00 "
82,Tyson Foods,"114,000",66,"$36,881.00 ",-10.90%,"$1,768.00 ",44.90%,"$22,373.00 ","$22,028.00 "
83,United Continental Holdings,"88,000",80,"$36,556.00 ",-3.50%,"$2,263.00 ",-69.20%,"$40,140.00 ","$22,225.00 "
84,Allstate,"43,275",81,"$36,534.00 ",2.50%,"$1,877.00 ",-13.50%,"$108,610.00 ","$29,754.00 "
85,Publix Super Markets,"191,000",87,"$34,274.00 ",5.10%,"$2,025.70 ",3.10%,"$17,464.00 ",-
86,American Express,"56,400",85,"$33,823.00 ",-1.80%,"$5,408.00 ",4.70%,"$158,893.00 ","$71,193.00 "
87,TJX,"235,000",89,"$33,184.00 ",7.20%,"$2,298.20 ",0.90%,"$12,884.00 ","$51,053.00 "
88,Nike,"70,700",91,"$32,376.00 ",5.80%,"$3,760.00 ",14.90%,"$21,396.00 ","$92,204.00 "
89,Exelon,"34,396",95,"$31,360.00 ",6.50%,"$1,134.00 ",-50.00%,"$114,904.00 ","$33,309.00 "
90,General Dynamics,"98,800",88,"$31,353.00 ",-0.40%,"$2,955.00 ",-0.30%,"$32,872.00 ","$56,791.00 "
91,Rite Aid,"70,580",107,"$30,737.00 ",15.90%,$165.50 ,-92.20%,"$11,277.00 ","$4,473.00 "
92,Gilead Sciences,"9,000",86,"$30,390.00 ",-6.90%,"$13,501.00 ",-25.40%,"$56,977.00 ","$88,788.00 "
93,CHS,"12,157",84,"$30,347.00 ",-12.20%,$424.20 ,-45.70%,"$17,318.00 ",-
94,3M,"91,584",93,"$30,109.00 ",-0.50%,"$5,050.00 ",4.50%,"$32,906.00 ","$114,338.00 "
95,Time Warner,"25,000",99,"$29,318.00 ",4.30%,"$3,926.00 ",2.40%,"$65,966.00 ","$75,660.00 "
96,Charter Communications,"91,500",292,"$29,003.00 ",197.30%,"$3,522.00 ",-,"$149,067.00 ","$100,595.00 "
97,Northwestern Mutual,"5,646",100,"$28,799.00 ",2.40%,$818.00 ,0.40%,"$250,441.00 ",-
98,Facebook,"17,048",157,"$27,638.00 ",54.20%,"$10,217.00 ",177.00%,"$64,961.00 ","$410,522.00 "
99,Travelers Cos.,"30,900",105,"$27,625.00 ",3.10%,"$3,014.00 ",-12.40%,"$100,245.00 ","$33,689.00 "
100,Capital One Financial,"47,300",112,"$27,519.00 ",9.60%,"$3,751.00 ",-7.40%,"$357,033.00 ","$41,831.00 "
101,Twenty-First Century Fox,"21,500",96,"$27,326.00 ",-5.70%,"$2,755.00 ",-66.80%,"$48,365.00 ","$59,949.00 "
102,USAA,"29,943",114,"$27,131.00 ",11.40%,"$1,779.10 ",-21.70%,"$147,290.00 ",-
103,World Fuel Services,"5,000",92,"$27,016.00 ",-11.10%,$126.50 ,-27.50%,"$5,413.00 ","$2,535.00 "
104,Philip Morris International,"79,500",106,"$26,685.00 ",-0.40%,"$6,967.00 ",1.40%,"$36,851.00 ","$175,349.00 "
105,Deere,"56,767",97,"$26,644.00 ",-7.70%,"$1,523.90 ",-21.40%,"$57,981.00 ","$34,648.00 "
106,Kraft Heinz,"41,000",153,"$26,487.00 ",44.40%,"$3,632.00 ",472.90%,"$120,480.00 ","$110,528.00 "
107,Tech Data,"9,500",108,"$26,235.00 ",-0.50%,$195.10 ,-26.60%,"$7,932.00 ","$3,569.00 "
108,Avnet,"17,700",102,"$26,219.00 ",-6.10%,$506.50 ,-11.40%,"$11,240.00 ","$5,898.00 "
109,Mondelez International,"90,000",102,"$25,923.00 ",-12.50%,"$1,659.00 ",-77.20%,"$61,538.00 ","$65,676.00 "
110,Macy,"148,300",103,"$25,778.00 ",-4.80%,$619.00 ,-42.30%,"$19,851.00 ","$9,046.00 "
111,AbbVie,"30,000",123,"$25,638.00 ",12.20%,"$5,953.00 ",15.70%,"$66,099.00 ","$103,838.00 "
112,McDonald,"375,000",109,"$24,622.00 ",-3.10%,"$4,686.50 ",3.50%,"$31,024.00 ","$106,150.00 "
113,DuPont,"46,000",101,"$24,594.00 ",-12.00%,"$2,513.00 ",28.70%,"$39,964.00 ","$69,451.00 "
114,Northrop Grumman,"67,000",118,"$24,508.00 ",4.20%,"$2,200.00 ",10.60%,"$25,614.00 ","$41,577.00 "
115,ConocoPhillips,"13,300",90,"$24,360.00 ",-21.30%,"($3,615.00)",-,"$89,772.00 ","$61,692.00 "
116,Raytheon,"63,000",120,"$24,069.00 ",3.50%,"$2,211.00 ",6.60%,"$30,052.00 ","$44,664.00 "
117,Tesoro,"6,308",98,"$24,005.00 ",-14.70%,$734.00 ,-52.30%,"$20,398.00 ","$9,515.00 "
118,Arrow Electronics,"18,700",119,"$23,825.00 ",2.30%,$522.80 ,5.00%,"$14,206.00 ","$6,546.00 "
119,Qualcomm,"30,500",110,"$23,554.00 ",-6.80%,"$5,705.00 ",8.20%,"$52,359.00 ","$84,694.00 "
120,Progressive,"31,721",137,"$23,441.00 ",12.40%,"$1,031.00 ",-18.70%,"$33,428.00 ","$22,760.00 "
121,Duke Energy,"28,798",115,"$23,369.00 ",-1.00%,"$2,152.00 ",-23.60%,"$132,761.00 ","$57,397.00 "
122,Enterprise Products Partners,"6,800",104,"$23,022.00 ",-14.80%,"$2,513.10 ",-0.30%,"$52,194.00 ","$58,522.00 "
123,Amgen,"19,200",130,"$22,991.00 ",6.10%,"$7,722.00 ",11.30%,"$77,626.00 ","$120,830.00 "
124,US Foods Holding,"25,000",122,"$22,919.00 ",-0.90%,$209.80 ,25.20%,"$8,945.00 ","$6,207.00 "
125,U.S. Bancorp,"71,191",131,"$22,744.00 ",5.80%,"$5,888.00 ",0.20%,"$445,964.00 ","$87,201.00 "
126,Aflac,"10,212",135,"$22,559.00 ",8.10%,"$2,659.00 ",5.00%,"$129,819.00 ","$29,053.00 "
127,Sears Holdings,"140,000",111,"$22,138.00 ",-12.00%,"($2,221.00)",-,"$9,362.00 ","$1,231.00 "
128,Dollar General,"121,000",139,"$21,987.00 ",7.90%,"$1,251.10 ",7.40%,"$11,672.00 ","$19,182.00 "
129,AutoNation,"26,000",136,"$21,609.00 ",3.60%,$430.50 ,-2.70%,"$10,060.00 ","$4,268.00 "
130,Community Health Systems,"108,000",125,"$21,374.00 ",-5.80%,"($1,721.00)",-,"$21,944.00 ","$1,010.00 "
131,Starbucks,"254,000",146,"$21,316.00 ",11.20%,"$2,817.70 ",2.20%,"$14,330.00 ","$85,092.00 "
132,Eli Lilly,"41,975",141,"$21,222.00 ",6.30%,"$2,737.60 ",13.70%,"$38,806.00 ","$92,803.00 "
133,International Paper,"55,000",127,"$21,079.00 ",-5.80%,$904.00 ,-3.60%,"$33,345.00 ","$20,884.00 "
134,Tenet Healthcare,"116,475",140,"$21,070.00 ",4.80%,($192.00),-,"$24,701.00 ","$1,777.00 "
135,Abbott Laboratories,"75,000",138,"$20,853.00 ",0.90%,"$1,400.00 ",-68.30%,"$52,666.00 ","$76,740.00 "
136,Dollar Tree,"116,050",180,"$20,719.00 ",33.70%,$896.20 ,217.40%,"$15,702.00 ","$18,540.00 "
137,Whirlpool,"93,000",134,"$20,718.00 ",-0.80%,$888.00 ,13.40%,"$19,153.00 ","$12,762.00 "
138,Southwest Airlines,"53,536",142,"$20,425.00 ",3.10%,"$2,244.00 ",2.90%,"$23,286.00 ","$33,076.00 "
139,Emerson Electric,"103,500",128,"$20,268.00 ",-9.10%,"$1,635.00 ",-39.70%,"$21,743.00 ","$38,614.00 "
140,Staples,"61,503",132,"$20,217.00 ",-4.00%,"($1,497.00)",-494.80%,"$8,271.00 ","$5,723.00 "
141,Plains GP Holdings,"5,100",121,"$20,182.00 ",-12.80%,$94.00 ,-20.30%,"$26,103.00 ","$9,127.00 "
142,Penske Automotive Group,"24,000",143,"$20,143.00 ",4.00%,$342.90 ,5.20%,"$8,861.00 ","$4,001.00 "
143,Union Pacific,"42,919",129,"$19,941.00 ",-8.60%,"$4,233.00 ",-11.30%,"$55,718.00 ","$85,911.00 "
144,Danaher,"62,000",133,"$19,912.00 ",-4.80%,"$2,553.70 ",-23.90%,"$45,295.00 ","$59,359.00 "
145,Southern,"32,015",162,"$19,896.00 ",13.80%,"$2,448.00 ",3.40%,"$109,697.00 ","$49,335.00 "
146,ManpowerGroup,"28,000",144,"$19,654.00 ",1.70%,$443.70 ,5.80%,"$7,574.00 ","$6,938.00 "
147,Bristol-Myers Squibb,"25,000",168,"$19,427.00 ",17.30%,"$4,457.00 ",184.80%,"$33,707.00 ","$89,591.00 "
148,Altria Group,"8,300",149,"$19,337.00 ",2.60%,"$14,239.00 ",171.70%,"$45,932.00 ","$138,513.00 "
149,Fluor,"61,551",155,"$19,037.00 ",5.10%,$281.40 ,-31.80%,"$9,216.00 ","$7,353.00 "
150,Kohl,"85,000",145,"$18,686.00 ",-2.70%,$556.00 ,-17.40%,"$13,574.00 ","$6,862.00 "
151,Lear,"148,400",154,"$18,558.00 ",1.90%,$975.10 ,30.80%,"$9,901.00 ","$9,726.00 "
152,Jabil Circuit,"138,000",158,"$18,353.00 ",2.50%,$254.10 ,-10.50%,"$10,323.00 ","$5,270.00 "
153,Hartford Financial Services Group,"16,900",152,"$18,300.00 ",-0.40%,$896.00 ,-46.70%,"$223,432.00 ","$17,795.00 "
154,Thermo Fisher Scientific,"54,800",164,"$18,274.00 ",7.70%,"$2,021.80 ",2.30%,"$45,908.00 ","$59,964.00 "
155,Kimberly-Clark,"42,000",151,"$18,202.00 ",-2.10%,"$2,166.00 ",113.80%,"$14,602.00 ","$46,828.00 "
156,Molina Healthcare,"21,000",201,"$17,782.00 ",25.40%,$52.00 ,-63.60%,"$7,449.00 ","$2,601.00 "
157,PG&E Corp.,"24,000",166,"$17,666.00 ",4.90%,"$1,393.00 ",59.40%,"$68,598.00 ","$33,696.00 "
158,Supervalu,"38,000",160,"$17,529.00 ",-1.60%,$178.00 ,-7.30%,"$4,370.00 ","$1,033.00 "
159,Cummins,"55,400",148,"$17,509.00 ",-8.40%,"$1,394.00 ",-0.40%,"$15,011.00 ","$25,397.00 "
160,CenturyLink,"40,000",159,"$17,470.00 ",-2.40%,$626.00 ,-28.70%,"$47,017.00 ","$12,883.00 "
161,AECOM,"87,000",156,"$17,411.00 ",-3.20%,$96.10 ,-,"$13,727.00 ","$5,528.00 "
162,Xerox,"133,600",150,"$17,126.00 ",-8.20%,($477.00),-200.60%,"$18,145.00 ","$7,462.00 "
163,Marriott International,"226,500",195,"$17,072.00 ",17.90%,$780.00 ,-9.20%,"$24,140.00 ","$36,124.00 "
164,Paccar,"23,000",147,"$17,033.00 ",-10.90%,$521.70 ,-67.50%,"$20,639.00 ","$23,604.00 "
