rank,company,employees,previousrank,revenues,revenuechange,profits,profitschange,assets,marketvalue
165,General Mills,"39,000",161,"$16,563.00 ",-6.10%,"$1,697.40 ",39.00%,"$21,712.00 ","$33,998.00 "
166,PNC Financial Services Group,"50,683",171,"$16,423.00 ",0.90%,"$3,903.00 ",-4.90%,"$366,380.00 ","$58,455.00 "
167,American Electric Power,"17,634",165,"$16,380.00 ",-3.10%,$610.90 ,-70.20%,"$63,468.00 ","$33,009.00 "
168,Icahn Enterprises,"90,980",184,"$16,348.00 ",7.00%,"($1,128.00)",-,"$33,335.00 ","$7,989.00 "
169,Nucor,"23,900",170,"$16,208.00 ",-1.40%,$796.30 ,122.60%,"$15,224.00 ","$19,051.00 "
170,NextEra Energy,"14,700",163,"$16,155.00 ",-7.60%,"$2,912.00 ",5.80%,"$89,993.00 ","$60,099.00 "
171,Performance Food Group,"13,000",185,"$16,105.00 ",5.50%,$68.30 ,20.90%,"$3,455.00 ","$2,464.00 "
172,PBF Energy,"3,165",217,"$15,920.00 ",21.30%,$170.80 ,16.70%,"$7,622.00 ","$2,431.00 "
173,Halliburton,"50,000",117,"$15,887.00 ",-32.80%,"($5,763.00)",-,"$27,000.00 ","$42,662.00 "
174,CarMax,"22,429",191,"$15,833.00 ",6.40%,$623.40 ,4.40%,"$14,482.00 ","$11,081.00 "
175,Freeport-McMoRan,"30,000",175,"$15,789.00 ",-0.60%,"($4,154.00)",-,"$37,317.00 ","$19,310.00 "
176,Whole Foods Market,"73,515",181,"$15,724.00 ",2.20%,$507.00 ,-5.40%,"$6,341.00 ","$9,468.00 "
177,Bank of New York Mellon Corp.,"52,000",179,"$15,683.00 ",1.00%,"$3,547.00 ",12.30%,"$333,469.00 ","$48,913.00 "
178,Gap,"135,000",177,"$15,516.00 ",-1.80%,$676.00 ,-26.50%,"$7,610.00 ","$9,712.00 "
179,Omnicom Group,"78,500",186,"$15,417.00 ",1.90%,"$1,148.60 ",5.00%,"$23,165.00 ","$20,219.00 "
180,Genuine Parts,"40,000",183,"$15,340.00 ",0.40%,$687.20 ,-2.60%,"$8,859.00 ","$13,712.00 "
181,DaVita HealthCare Partners,"70,300",200,"$15,197.00 ",6.90%,$879.90 ,226.20%,"$18,741.00 ","$13,227.00 "
182,Colgate-Palmolive,"36,700",174,"$15,195.00 ",-5.20%,"$2,441.00 ",76.40%,"$12,123.00 ","$64,715.00 "
183,PPG Industries,"47,000",182,"$15,178.00 ",-1.00%,$877.00 ,-37.60%,"$15,769.00 ","$26,970.00 "
184,Goodyear Tire & Rubber,"66,000",169,"$15,158.00 ",-7.80%,"$1,264.00 ",311.70%,"$16,511.00 ","$9,070.00 "
185,Synchrony Financial,"15,000",,"$15,122.00 ",11.00%,"$2,251.00 ",1.70%,"$90,207.00 ","$27,810.00 "
186,DISH Network,"16,000",187,"$15,095.00 ",0.20%,"$1,449.90 ",94.10%,"$28,092.00 ","$29,547.00 "
187,Visa,"14,200",204,"$15,082.00 ",8.70%,"$5,991.00 ",-5.30%,"$64,035.00 ","$206,242.00 "
188,Nordstrom,"72,500",197,"$14,757.00 ",2.20%,$354.00 ,-41.00%,"$7,858.00 ","$7,770.00 "
189,INTL FCStone,"1,464",83,"$14,755.00 ",-57.50%,$54.70 ,-1.80%,"$5,951.00 ",$708.00 
190,WestRock,"39,000",251,"$14,706.00 ",29.20%,($396.30),-178.20%,"$23,038.00 ","$13,029.00 "
191,XPO Logistics,"87,000",353,"$14,619.00 ",91.80%,$69.00 ,-,"$11,698.00 ","$5,338.00 "
192,Aramark,"217,250",199,"$14,416.00 ",0.60%,$287.80 ,22.00%,"$10,582.00 ","$9,081.00 "
193,CBS,"18,410",203,"$14,386.00 ",3.60%,"$1,261.00 ",-10.80%,"$24,238.00 ","$28,405.00 "
194,AES,"19,000",190,"$14,287.00 ",-4.50%,"($1,130.00)",-469.30%,"$36,119.00 ","$7,371.00 "
195,WellCare Health Plans,"7,400",202,"$14,237.00 ",2.50%,$242.10 ,104.10%,"$6,153.00 ","$6,212.00 "
196,FirstEnergy,"15,707",188,"$14,156.00 ",-3.10%,"($6,177.00)",-,"$43,148.00 ","$14,118.00 "
197,ConAgra Foods,"20,900",176,"$14,134.00 ",-10.80%,($677.00),-,"$13,391.00 ","$17,557.00 "
198,Synnex,"110,000",212,"$14,062.00 ",5.40%,$234.90 ,12.70%,"$5,223.00 ","$4,469.00 "
199,CDW,"8,516",220,"$13,982.00 ",7.60%,$424.40 ,5.30%,"$6,948.00 ","$9,197.00 "
200,Textron,"36,000",209,"$13,788.00 ",2.70%,$962.00 ,38.00%,"$15,358.00 ","$12,851.00 "
201,Waste Management,"41,200",221,"$13,609.00 ",5.00%,"$1,182.00 ",57.00%,"$20,859.00 ","$32,216.00 "
202,Illinois Tool Works,"50,000",211,"$13,599.00 ",1.40%,"$2,035.00 ",7.20%,"$15,201.00 ","$45,791.00 "
203,Office Depot,"38,000",196,"$13,585.00 ",-6.20%,$529.00 ,-,"$5,540.00 ","$2,402.00 "
204,Monsanto,"22,450",189,"$13,502.00 ",-10.00%,"$1,336.00 ",-42.30%,"$19,736.00 ","$49,644.00 "
205,Cognizant Technology Solutions,"260,200",230,"$13,487.00 ",8.60%,"$1,553.00 ",-4.30%,"$14,262.00 ","$36,226.00 "
206,Texas Instruments,"29,865",219,"$13,370.00 ",2.80%,"$3,595.00 ",20.40%,"$16,431.00 ","$80,531.00 "
207,Lincoln National,"9,057",205,"$13,330.00 ",-1.80%,"$1,192.00 ",3.30%,"$261,627.00 ","$14,760.00 "
208,Newell Brands,"53,400",434,"$13,264.00 ",122.10%,$527.80 ,50.80%,"$33,838.00 ","$22,787.00 "
209,Land O,"10,000",215,"$13,233.00 ",0.60%,$244.90 ,-20.40%,"$8,305.00 ",-
210,Marsh & McLennan,"60,000",222,"$13,211.00 ",2.50%,"$1,768.00 ",10.60%,"$18,190.00 ","$38,078.00 "
211,Ecolab,"47,565",206,"$13,153.00 ",-2.90%,"$1,229.60 ",22.70%,"$18,330.00 ","$36,356.00 "
212,C.H. Robinson Worldwide,"14,125",208,"$13,144.00 ",-2.50%,$513.40 ,0.70%,"$3,688.00 ","$10,958.00 "
213,Loews,"15,800",210,"$13,105.00 ",-2.30%,$654.00 ,151.50%,"$76,594.00 ","$15,747.00 "
214,CBRE Group,"75,000",259,"$13,072.00 ",20.40%,$572.00 ,4.50%,"$10,780.00 ","$11,753.00 "
215,Kinder Morgan,"11,121",198,"$13,058.00 ",-9.30%,$708.00 ,179.80%,"$80,305.00 ","$48,533.00 "
216,Kellogg,"37,369",207,"$13,014.00 ",-3.80%,$694.00 ,13.00%,"$15,111.00 ","$25,417.00 "
217,Western Digital,"72,878",194,"$12,994.00 ",-10.80%,$242.00 ,-83.50%,"$32,862.00 ","$23,775.00 "
218,Guardian Life Ins. Co. of America,"8,876",226,"$12,919.00 ",2.30%,$263.90 ,-35.70%,"$70,339.00 ",-
219,Ross Stores,"78,600",237,"$12,867.00 ",7.80%,"$1,117.70 ",9.50%,"$5,309.00 ","$25,814.00 "
220,L Brands,"59,100",234,"$12,574.00 ",3.50%,"$1,158.10 ",-7.60%,"$8,170.00 ","$13,426.00 "
221,J.C. Penney,"106,000",228,"$12,547.00 ",-0.60%,$1.00 ,-,"$9,314.00 ","$1,901.00 "
222,Farmers Insurance Exchange,"13,309",227,"$12,513.00 ",-0.90%,($147.90),-,"$16,057.00 ",-
223,Reynolds American,"5,525",266,"$12,503.00 ",17.10%,"$6,073.00 ",86.70%,"$51,095.00 ","$89,862.00 "
224,Viacom,"9,650",213,"$12,488.00 ",-5.90%,"$1,438.00 ",-25.20%,"$22,508.00 ","$18,503.00 "
225,Becton Dickinson,"50,928",278,"$12,483.00 ",21.40%,$976.00 ,40.40%,"$25,586.00 ","$39,041.00 "
226,Micron Technology,"31,400",173,"$12,399.00 ",-23.40%,($276.00),-109.50%,"$27,540.00 ","$31,972.00 "
227,Principal Financial,"14,854",236,"$12,394.00 ",3.60%,"$1,316.50 ",6.70%,"$228,014.00 ","$18,143.00 "
228,Arconic,"41,500",126,"$12,394.00 ",-45.00%,($941.00),-,"$20,038.00 ","$11,604.00 "
229,NRG Energy,"8,763",193,"$12,351.00 ",-15.80%,($774.00),-,"$30,355.00 ","$5,911.00 "
230,VF,"69,000",231,"$12,207.00 ",-1.40%,"$1,074.10 ",-12.80%,"$9,739.00 ","$22,786.00 "
231,Devon Energy,"3,545",216,"$12,197.00 ",-7.20%,"($3,302.00)",-,"$25,913.00 ","$21,886.00 "
232,D.R. Horton,"6,976",260,"$12,157.00 ",12.30%,$886.30 ,18.10%,"$11,559.00 ","$12,438.00 "
233,Bed Bath & Beyond,"62,000",238,"$12,104.00 ",1.90%,$841.50 ,-12.10%,"$6,499.00 ","$5,931.00 "
234,Consolidated Edison,"14,960",229,"$12,075.00 ",-3.80%,"$1,245.00 ",4.40%,"$48,255.00 ","$23,708.00 "
235,Edison International,"12,390",246,"$11,869.00 ",3.00%,"$1,311.00 ",28.50%,"$51,319.00 ","$25,938.00 "
236,Sherwin-Williams,"42,550",253,"$11,856.00 ",4.60%,"$1,132.70 ",7.50%,"$6,753.00 ","$28,891.00 "
237,NGL Energy Partners,"3,200",167,"$11,742.00 ",-30.10%,($198.90),-633.20%,"$5,560.00 ","$2,686.00 "
238,Dominion Resources,"16,200",243,"$11,737.00 ",0.50%,"$2,123.00 ",11.80%,"$71,610.00 ","$48,732.00 "
239,Ameriprise Financial,"13,195",232,"$11,735.00 ",-3.80%,"$1,314.00 ",-15.90%,"$139,821.00 ","$19,953.00 "
240,ADP,"57,000",248,"$11,668.00 ",1.70%,"$1,492.50 ",2.80%,"$43,670.00 ","$45,963.00 "
241,Hilton Worldwide Holdings,"169,000",254,"$11,663.00 ",3.50%,$348.00 ,-75.20%,"$26,211.00 ","$19,276.00 "
242,First Data,"24,000",249,"$11,584.00 ",1.20%,$420.00 ,-,"$40,292.00 ","$14,224.00 "
243,Henry Schein,"21,000",268,"$11,572.00 ",8.90%,$506.80 ,5.80%,"$6,730.00 ","$13,461.00 "
244,Toys ,"64,000",240,"$11,540.00 ",-2.20%,($36.00),-,"$6,908.00 ",-
245,BB&T Corp.,"37,500",273,"$11,538.00 ",11.50%,"$2,426.00 ",16.40%,"$219,276.00 ","$36,141.00 "
246,Reinsurance Group of America,"2,371",271,"$11,522.00 ",10.60%,$701.40 ,39.70%,"$53,098.00 ","$8,169.00 "
247,Core-Mark Holding,"7,688",317,"$11,507.00 ",29.90%,$54.20 ,5.20%,"$1,497.00 ","$1,445.00 "
248,Biogen,"7,400",263,"$11,449.00 ",6.40%,"$3,702.80 ",4.40%,"$22,877.00 ","$59,046.00 "
249,Las Vegas Sands,"49,000",241,"$11,410.00 ",-2.40%,"$1,670.00 ",-15.10%,"$20,469.00 ","$45,313.00 "
250,Stanley Black & Decker,"54,023",256,"$11,407.00 ",1.70%,$965.30 ,9.20%,"$15,635.00 ","$20,280.00 "
251,Parker-Hannifin,"48,950",224,"$11,361.00 ",-10.60%,$806.80 ,-20.30%,"$12,057.00 ","$21,370.00 "
252,Stryker,"33,000",287,"$11,325.00 ",13.90%,"$1,647.00 ",14.50%,"$20,435.00 ","$49,115.00 "
253,Estee Lauder,"46,000",261,"$11,262.00 ",4.50%,"$1,114.60 ",2.40%,"$9,223.00 ","$31,068.00 "
254,Celgene,"7,132",305,"$11,229.00 ",21.30%,"$1,999.20 ",24.80%,"$28,086.00 ","$96,802.00 "
255,BlackRock,"13,000",250,"$11,155.00 ",-2.20%,"$3,172.00 ",-5.20%,"$220,177.00 ","$62,225.00 "
256,Xcel Energy,"11,476",257,"$11,107.00 ",0.70%,"$1,123.40 ",14.10%,"$41,155.00 ","$22,546.00 "
257,CSX,"26,628",239,"$11,069.00 ",-6.30%,"$1,714.00 ",-12.90%,"$35,414.00 ","$43,126.00 "
258,Unum Group,"9,400",265,"$11,047.00 ",2.90%,$931.40 ,7.40%,"$61,942.00 ","$10,749.00 "
259,Jacobs Engineering Group,"49,350",235,"$10,964.00 ",-9.50%,$210.50 ,-30.50%,"$7,360.00 ","$6,693.00 "
260,Lennar,"8,335",301,"$10,950.00 ",15.60%,$911.80 ,13.60%,"$15,362.00 ","$12,002.00 "
261,Group 1 Automotive,"13,500",267,"$10,888.00 ",2.40%,$147.10 ,56.50%,"$4,462.00 ","$1,584.00 "
262,Leucadia National,"13,000",242,"$10,875.00 ",-6.90%,$130.00 ,-54.20%,"$45,071.00 ","$9,355.00 "
263,Entergy,"13,513",247,"$10,846.00 ",-5.80%,($583.60),-,"$45,904.00 ","$13,685.00 "
264,PayPal Holdings,"18,100",307,"$10,842.00 ",17.20%,"$1,401.00 ",14.10%,"$33,103.00 ","$51,650.00 "
265,Applied Materials,"16,150",295,"$10,825.00 ",12.10%,"$1,721.00 ",25.00%,"$14,588.00 ","$42,005.00 "
266,Voya Financial,"6,700",252,"$10,782.00 ",-4.90%,($428.00),-204.80%,"$214,235.00 ","$7,191.00 "
267,MasterCard,"11,900",294,"$10,776.00 ",11.50%,"$4,059.00 ",6.60%,"$18,675.00 ","$121,234.00 "
268,Priceline Group,"18,500",308,"$10,743.00 ",16.50%,"$2,135.00 ",-16.30%,"$19,839.00 ","$87,522.00 "
269,Liberty Interactive,"21,080",284,"$10,647.00 ",6.60%,"$1,235.00 ",42.10%,"$20,355.00 ","$9,101.00 "
270,AutoZone,"66,780",280,"$10,636.00 ",4.40%,"$1,241.00 ",7.00%,"$8,600.00 ","$20,540.00 "
271,State Street Corp.,"33,783",264,"$10,635.00 ",-1.20%,"$2,143.00 ",8.20%,"$242,698.00 ","$30,406.00 "
272,DTE Energy,"10,000",274,"$10,630.00 ",2.80%,$868.00 ,19.40%,"$32,041.00 ","$18,317.00 "
273,L-3 Communications,"38,000",245,"$10,597.00 ",-8.30%,$710.00 ,-,"$11,865.00 ","$12,859.00 "
274,HollyFrontier,"2,676",214,"$10,536.00 ",-20.40%,($260.50),-135.20%,"$9,436.00 ","$5,048.00 "
275,Praxair,"26,498",262,"$10,534.00 ",-2.20%,"$1,500.00 ",-3.00%,"$19,332.00 ","$33,834.00 "
276,Universal Health Services,"70,863",290,"$10,508.00 ",7.40%,$702.40 ,3.20%,"$10,318.00 ","$12,022.00 "
277,Discover Financial Services,"15,549",283,"$10,497.00 ",4.90%,"$2,393.00 ",4.20%,"$92,308.00 ","$26,255.00 "
278,Occidental Petroleum,"11,000",225,"$10,398.00 ",-18.10%,($574.00),-,"$43,109.00 ","$48,444.00 "
279,United States Steel,"29,800",244,"$10,261.00 ",-11.30%,($440.00),-,"$9,160.00 ","$5,893.00 "
280,Sempra Energy,"16,575",279,"$10,183.00 ",-0.50%,"$1,370.00 ",1.60%,"$47,786.00 ","$27,692.00 "
281,Baxter International,"48,000",286,"$10,163.00 ",2.00%,"$4,965.00 ",412.90%,"$15,546.00 ","$28,106.00 "
282,W.W. Grainger,"25,000",285,"$10,137.00 ",1.60%,$605.90 ,-21.20%,"$5,694.00 ","$13,668.00 "
283,Autoliv,"65,900",310,"$10,074.00 ",9.90%,$567.10 ,24.10%,"$8,234.00 ","$9,032.00 "
284,Norfolk Southern,"27,856",270,"$9,888.00 ",-5.90%,"$1,668.00 ",7.20%,"$34,892.00 ","$32,515.00 "
285,Baker Hughes,"33,000",178,"$9,841.00 ",-37.50%,"($2,738.00)",-,"$19,034.00 ","$25,444.00 "
286,Ally Financial,"7,600",298,"$9,835.00 ",3.10%,"$1,067.00 ",-17.20%,"$163,728.00 ","$9,437.00 "
287,Sonic Automotive,"9,800",297,"$9,732.00 ",1.10%,$93.20 ,8.00%,"$3,639.00 ",$900.00 
288,Owens & Minor,"7,900",291,"$9,723.00 ",-0.50%,$108.80 ,5.20%,"$2,718.00 ","$2,114.00 "
289,Huntsman,"15,000",277,"$9,657.00 ",-6.20%,$326.00 ,250.50%,"$9,189.00 ","$5,880.00 "
290,Laboratory Corp. of America,"52,000",325,"$9,642.00 ",11.10%,$732.10 ,67.60%,"$14,247.00 ","$14,696.00 "
291,Murphy USA,"6,600",258,"$9,633.00 ",-11.50%,$221.50 ,25.60%,"$2,089.00 ","$2,706.00 "
292,Advance Auto Parts,"57,500",293,"$9,568.00 ",-1.70%,$459.60 ,-2.90%,"$8,315.00 ","$10,944.00 "
293,Fidelity National Financial,"55,219",311,"$9,554.00 ",4.60%,$650.00 ,23.30%,"$14,463.00 ","$10,600.00 "
294,Air Products & Chemicals,"18,450",288,"$9,524.00 ",-3.70%,$631.10 ,-50.60%,"$18,055.00 ","$29,438.00 "
295,Hormel Foods,"21,100",304,"$9,523.00 ",2.80%,$890.10 ,29.70%,"$6,370.00 ","$18,316.00 "
296,Hertz Global Holdings,"36,000",269,"$9,480.00 ",-10.00%,($491.00),-279.90%,"$19,155.00 ","$1,456.00 "
297,MGM Resorts International,"66,500",309,"$9,455.00 ",2.90%,"$1,101.40 ",-,"$28,173.00 ","$15,733.00 "
298,Corning,"40,700",313,"$9,390.00 ",3.10%,"$3,695.00 ",176.00%,"$27,899.00 ","$25,030.00 "
299,Republic Services,"33,000",312,"$9,388.00 ",3.00%,$612.60 ,-18.30%,"$20,630.00 ","$21,312.00 "
300,Alcoa,"14,000",,"$9,318.00 ",-,($400.00),-,"$16,741.00 ","$6,337.00 "
301,Fidelity National Information Services,"55,000",392,"$9,241.00 ",40.10%,$568.00 ,-10.10%,"$26,031.00 ","$26,178.00 "
302,Pacific Life,"3,628",326,"$9,169.00 ",6.10%,$824.00 ,24.70%,"$143,298.00 ",-
303,SunTrust Banks,"24,375",329,"$9,161.00 ",7.40%,"$1,878.00 ",-2.80%,"$204,875.00 ","$27,175.00 "
304,LKQ,"42,500",369,"$9,082.00 ",26.30%,$464.00 ,9.60%,"$8,303.00 ","$9,021.00 "
305,BorgWarner,"27,000",339,"$9,071.00 ",13.10%,$118.50 ,-80.60%,"$8,835.00 ","$8,895.00 "
306,Ball,"18,450",341,"$9,061.00 ",13.30%,$263.00 ,-6.40%,"$16,173.00 ","$13,000.00 "
307,CST Brands,"12,380",299,"$9,061.00 ",-4.60%,$324.00 ,117.40%,"$4,360.00 ","$3,645.00 "
308,Public Service Enterprise Group,"13,065",272,"$9,061.00 ",-13.00%,$887.00 ,-47.20%,"$40,070.00 ","$22,451.00 "
309,Eastman Chemical,"14,000",296,"$9,008.00 ",-6.60%,$854.00 ,0.70%,"$15,457.00 ","$11,783.00 "
310,eBay,"12,600",300,"$8,979.00 ",-5.40%,"$7,266.00 ",321.20%,"$23,847.00 ","$36,232.00 "
311,Mohawk Industries,"37,800",338,"$8,959.00 ",11.00%,$930.40 ,51.20%,"$10,231.00 ","$17,025.00 "
312,Oneok,"2,384",348,"$8,921.00 ",14.90%,$352.00 ,43.70%,"$16,139.00 ","$11,684.00 "
313,Frontier Communications,"28,332",461,"$8,896.00 ",59.50%,($373.00),-,"$29,013.00 ","$2,521.00 "
314,Netflix,"3,850",379,"$8,831.00 ",30.30%,$186.70 ,52.20%,"$13,587.00 ","$63,619.00 "
315,American Family Insurance Group,"10,471",332,"$8,829.00 ",6.60%,$325.60 ,-53.10%,"$22,662.00 ",-
316,Thrivent Financial for Lutherans,"3,282",318,"$8,777.00 ",-0.10%,$587.80 ,-23.60%,"$88,561.00 ",-
317,Expedia,"20,075",385,"$8,774.00 ",31.50%,$281.80 ,-63.10%,"$15,778.00 ","$18,901.00 "
318,Lithia Motors,"11,170",346,"$8,678.00 ",10.30%,$197.10 ,7.70%,"$3,844.00 ","$2,156.00 "
319,Avis Budget Group,"25,600",330,"$8,659.00 ",1.80%,$163.00 ,-47.90%,"$17,643.00 ","$2,528.00 "
320,Reliance Steel & Aluminum,"14,500",303,"$8,613.00 ",-7.90%,$304.30 ,-2.30%,"$7,411.00 ","$5,830.00 "
321,GameStop,"41,750",302,"$8,608.00 ",-8.10%,$353.20 ,-12.30%,"$4,976.00 ","$2,282.00 "
322,Tenneco,"31,000",334,"$8,599.00 ",4.80%,$363.00 ,47.00%,"$4,342.00 ","$3,390.00 "
323,O,"58,397",342,"$8,593.00 ",7.90%,"$1,037.70 ",11.40%,"$7,204.00 ","$24,730.00 "
324,Peter Kiewit Sons,"20,000",314,"$8,573.00 ",-4.70%,$396.00 ,57.80%,"$6,179.00 ",-
325,United Natural Foods,"9,554",335,"$8,470.00 ",3.50%,$125.80 ,-9.30%,"$2,852.00 ","$2,187.00 "
326,salesforce.com,"25,000",386,"$8,392.00 ",25.90%,$179.60 ,-,"$17,585.00 ","$58,362.00 "
327,Boston Scientific,"27,000",359,"$8,386.00 ",12.20%,$347.00 ,-,"$18,096.00 ","$34,046.00 "
328,Newmont Mining,"12,438",349,"$8,379.00 ",8.40%,($627.00),-385.00%,"$21,031.00 ","$17,518.00 "
329,Genworth Financial,"3,400",306,"$8,369.00 ",-9.50%,($277.00),-,"$104,658.00 ","$2,056.00 "
